triangle 89, vertex 0, index: 121, pos: p(0.367423,11.5909,0.066434)
triangle 89, vertex 1, index: 122, pos: p(0.24224,12.1567,-0.000146)
triangle 89, vertex 2, index: 123, pos: p(0.009983,12.1702,0.034923)
triangle 90, vertex 0, index: 124, pos: p(0.285539,11.5905,-0.541803)
triangle 90, vertex 1, index: 125, pos: p(0.009983,12.2159,-0.373755)
triangle 90, vertex 2, index: 126, pos: p(0.292646,12.2488,-0.395647)
triangle 91, vertex 0, index: 127, pos: p(0.294683,11.591,-0.234628)
triangle 91, vertex 1, index: 128, pos: p(1.03576,11.4078,-0.106071)
triangle 91, vertex 2, index: 129, pos: p(0.285539,11.5905,-0.541803)
triangle 92, vertex 0, index: 130, pos: p(0.367423,11.5909,0.066434)
triangle 92, vertex 1, index: 128, pos: p(1.03576,11.4078,-0.106071)
triangle 92, vertex 2, index: 127, pos: p(0.294683,11.591,-0.234628)
triangle 93, vertex 0, index: 131, pos: p(0.018736,11.5887,0.128087)
triangle 93, vertex 1, index: 121, pos: p(0.367423,11.5909,0.066434)
triangle 93, vertex 2, index: 132, pos: p(0.018736,11.5929,0.128059)
triangle 94, vertex 0, index: 121, pos: p(0.367423,11.5909,0.066434)
triangle 94, vertex 1, index: 133, pos: p(0.018736,11.5971,0.128031)
triangle 94, vertex 2, index: 132, pos: p(0.018736,11.5929,0.128059)
triangle 95, vertex 0, index: 134, pos: p(0.042246,11.6026,0.128806)
triangle 95, vertex 1, index: 135, pos: p(0.018736,11.5887,0.128087)
triangle 95, vertex 2, index: 136, pos: p(0.018736,11.5929,0.128059)
triangle 96, vertex 0, index: 137, pos: p(-0.004775,11.6026,0.128806)
triangle 96, vertex 1, index: 138, pos: p(0.018736,11.5887,0.128087)
triangle 96, vertex 2, index: 139, pos: p(-0.00261,11.5957,0.120269)
triangle 97, vertex 0, index: 140, pos: p(0.018736,11.5845,0.128115)
triangle 97, vertex 1, index: 141, pos: p(0.040081,11.5957,0.120269)
triangle 97, vertex 2, index: 121, pos: p(0.367423,11.5909,0.066434)
triangle 98, vertex 0, index: 141, pos: p(0.040081,11.5957,0.120269)
triangle 98, vertex 1, index: 140, pos: p(0.018736,11.5845,0.128115)
triangle 98, vertex 2, index: 135, pos: p(0.018736,11.5887,0.128087)
triangle 99, vertex 0, index: 140, pos: p(0.018736,11.5845,0.128115)
triangle 99, vertex 1, index: 121, pos: p(0.367423,11.5909,0.066434)
triangle 99, vertex 2, index: 131, pos: p(0.018736,11.5887,0.128087)
triangle 100, vertex 0, index: 142, pos: p(0.829439,9.94718,0.643776)
triangle 100, vertex 1, index: 143, pos: p(0.009983,10.6294,0.780343)
triangle 100, vertex 2, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 101, vertex 0, index: 143, pos: p(0.009983,10.6294,0.780343)
triangle 101, vertex 1, index: 144, pos: p(0.009983,8.98513,0.889923)
triangle 101, vertex 2, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 102, vertex 0, index: 107, pos: p(0.770708,9.44945,0.585258)
triangle 102, vertex 1, index: 142, pos: p(0.829439,9.94718,0.643776)
triangle 102, vertex 2, index: 108, pos: p(0.161934,8.90559,0.910815)
triangle 103, vertex 0, index: 145, pos: p(0.009983,11.0442,0.674654)
triangle 103, vertex 1, index: 143, pos: p(0.009983,10.6294,0.780343)
triangle 103, vertex 2, index: 142, pos: p(0.829439,9.94718,0.643776)
triangle 104, vertex 0, index: 146, pos: p(0.983335,11.3357,0.251451)
triangle 104, vertex 1, index: 121, pos: p(0.367423,11.5909,0.066434)
triangle 104, vertex 2, index: 141, pos: p(0.040081,11.5957,0.120269)
triangle 105, vertex 0, index: 146, pos: p(0.983335,11.3357,0.251451)
triangle 105, vertex 1, index: 145, pos: p(0.009983,11.0442,0.674654)
triangle 105, vertex 2, index: 147, pos: p(0.968182,10.7385,0.494661)
triangle 106, vertex 0, index: 85, pos: p(0.983335,11.3357,0.251451)
triangle 106, vertex 1, index: 148, pos: p(1.04675,11.378,-0.100876)
triangle 106, vertex 2, index: 149, pos: p(1.04787,11.4026,-0.103696)
triangle 107, vertex 0, index: 150, pos: p(0.235586,10.7289,-0.957636)
triangle 107, vertex 1, index: 124, pos: p(0.285539,11.5905,-0.541803)
triangle 107, vertex 2, index: 151, pos: p(0.949302,10.8062,-0.63194)
